farm_id,field_id,latitude,longitude,area_acres,soil_type,crop_type,installation_date
F0027,FD0027,20.39614,80.323876,8.22,Sandy,Wheat,2026-06-18
F0028,FD0028,18.351694,76.898429,4.34,Black,Maize,2026-02-24
F0029,FD0029,21.073481,78.542122,10.5,Red,Rice,2026-04-13
F0030,FD0030,21.470896,77.699024,6.85,Black,Maize,2026-01-31
F0031,FD0031,16.987434,73.012207,0.8,Black,Wheat,2026-05-31
F0032,FD0032,16.821304,73.067945,9.65,Sandy,Cotton,2026-01-09
F0033,FD0033,20.657812,73.066859,3.95,Red,Maize,2026-02-24
F0034,FD0034,18.735404,78.286821,13.29,Black,Maize,2026-03-04
F0035,FD0035,20.207717,78.959976,3.26,Clay,Soybean,2026-04-21
F0036,FD0036,17.625785,75.788818,13.03,Clay,Soybean,2026-06-17
F0037,FD0037,21.404991,73.287343,6.34,Loamy,Cotton,2026-03-05
F0038,FD0038,16.64954,76.790286,2.53,Sandy,Rice,2026-04-29
F0039,FD0039,16.998839,79.886125,6.93,Black,Cotton,2026-01-13
F0040,FD0040,19.412869,76.824704,0.71,Clay,Wheat,2026-02-12
F0041,FD0041,17.938484,76.350867,13.04,Clay,Wheat,2026-04-08
F0042,FD0042,15.512932,75.623374,13.93,Silty,Rice,2026-04-19
F0043,FD0043,19.679549,78.344043,11.86,Red,Soybean,2026-05-05
F0044,FD0044,16.428781,74.873663,14.55,Black,Soybean,2026-05-19
F0045,FD0045,15.865745,75.008838,1.23,Silty,Sugarcane,2026-05-16
F0046,FD0046,16.444596,80.186231,1.66,Sandy,Cotton,2026-06-02
F0047,FD0047,15.907765,79.394554,6.35,Black,Wheat,2026-05-29
F0048,FD0048,19.067115,77.455052,6.58,Black,Sugarcane,2026-05-14
F0049,FD0049,17.398219,74.586126,10.21,Loamy,Wheat,2026-03-09
F0050,FD0050,17.874715,77.873522,4.85,Loamy,Cotton,2026-01-03
F0051,FD0051,18.249713,80.487636,14.94,Clay,Sugarcane,2026-02-24
F0052,FD0052,18.535308,73.559653,5.56,Clay,Wheat,2026-04-05
F0053,FD0053,17.209924,76.005477,8.38,Loamy,Sugarcane,2026-06-17
F0054,FD0054,18.673644,77.842906,8.54,Red,Cotton,2026-02-04
F0055,FD0055,17.086796,79.617702,11.27,Sandy,Rice,2026-03-14
F0056,FD0056,19.128979,78.240897,3.45,Red,Rice,2026-05-10
F0057,FD0057,18.431191,79.742692,12.77,Clay,Soybean,2026-04-19
F0058,FD0058,20.476089,72.852694,5.34,Sandy,Soybean,2026-03-09
F0059,FD0059,16.469492,76.034684,10.73,Black,Cotton,2026-01-29
F0060,FD0060,15.951463,79.564851,13.61,Black,Cotton,2026-04-05
F0061,FD0061,18.995057,73.68475,2.35,Loamy,Rice,2026-01-11
F0062,FD0062,20.893548,74.180612,4.12,Clay,Rice,2026-05-24
F0063,FD0063,20.804808,75.751019,9.5,Sandy,Wheat,2026-02-11
F0064,FD0064,21.357236,78.986174,13.28,Clay,Wheat,2026-03-27
F0065,FD0065,20.194319,75.793705,10.21,Red,Wheat,2026-03-10
F0066,FD0066,16.455187,78.110226,6.05,Clay,Maize,2026-02-26
F0067,FD0067,16.697437,79.847615,5.57,Sandy,Wheat,2026-01-07
F0068,FD0068,19.460199,75.687728,4.54,Clay,Rice,2026-03-31
F0069,FD0069,19.34889,75.697427,14.73,Black,Rice,2026-01-08
F0070,FD0070,16.192051,80.263205,3.09,Loamy,Cotton,2026-01-28
F0071,FD0071,19.079428,75.265497,11.9,Silty,Sugarcane,2026-05-11
F0072,FD0072,16.193875,79.696038,3.26,Clay,Soybean,2026-04-22
F0073,FD0073,15.510148,79.904601,8.31,Red,Soybean,2026-06-21
F0074,FD0074,16.682211,75.950379,14.26,Loamy,Sugarcane,2026-03-22
F0075,FD0075,19.480325,73.497003,13.55,Black,Rice,2026-06-20
F0076,FD0076,17.950357,75.719203,4.79,Sandy,Wheat,2026-04-18
F0077,FD0077,19.489577,75.533162,11.35,Sandy,Sugarcane,2026-05-26
F0078,FD0078,17.305699,76.883498,0.51,Loamy,Wheat,2026-04-21
F0079,FD0079,20.214553,77.353293,5.17,Silty,Maize,2026-06-22
F0080,FD0080,16.782208,76.285489,13.57,Red,Wheat,2026-06-18
F0081,FD0081,16.008773,76.623616,9.68,Loamy,Cotton,2026-03-02
F0082,FD0082,19.536774,74.297125,3.39,Clay,Cotton,2026-03-04
F0083,FD0083,21.403616,77.390192,11.64,Silty,Maize,2026-06-11
F0084,FD0084,18.954025,78.246767,6.07,Silty,Wheat,2026-02-07
F0085,FD0085,19.436348,72.544359,11.39,Clay,Maize,2026-02-26
F0086,FD0086,16.55532,80.163728,8.01,Clay,Sugarcane,2026-03-05
F0087,FD0087,21.00482,73.470869,2.43,Silty,Soybean,2026-05-16
F0088,FD0088,21.427355,77.263619,14.28,Silty,Sugarcane,2026-05-10
F0089,FD0089,18.060445,79.754838,6.97,Sandy,Soybean,2026-05-02
F0090,FD0090,18.200419,78.514214,12.68,Loamy,Sugarcane,2026-05-05
F0091,FD0091,19.260491,74.69678,1.62,Loamy,Wheat,2026-03-11
F0092,FD0092,17.515085,79.644215,1.67,Sandy,Wheat,2026-04-09
F0093,FD0093,19.663699,78.151353,1.43,Silty,Rice,2026-05-19
F0094,FD0094,18.295546,72.998126,12.58,Silty,Sugarcane,2026-06-28
F0095,FD0095,15.617192,79.545253,8.85,Silty,Cotton,2026-04-01
F0096,FD0096,17.291676,75.619893,13.43,Silty,Sugarcane,2026-05-20
F0097,FD0097,20.299209,79.682491,7.58,Loamy,Maize,2026-05-05
F0098,FD0098,15.674149,75.189036,10.35,Silty,Soybean,2026-02-12
F0099,FD0099,20.543034,79.856333,14.72,Black,Cotton,2026-04-11
F0100,FD0100,19.051357,77.803998,1.72,Silty,Wheat,2026-04-29
F0101,FD0101,16.590374,74.581251,5.25,Silty,Rice,2026-03-28
F0102,FD0102,20.067378,75.53301,11.4,Silty,Rice,2026-01-21
F0103,FD0103,18.321841,78.492194,1.26,Loamy,Wheat,2026-06-16
F0104,FD0104,15.91171,80.158285,1.08,Clay,Wheat,2026-02-21
F0105,FD0105,20.535373,77.470685,3.96,Silty,Soybean,2026-01-30
F0106,FD0106,18.883817,74.243716,10.64,Loamy,Wheat,2026-06-05
F0107,FD0107,19.143485,78.483405,2.16,Sandy,Rice,2026-01-28
F0108,FD0108,18.972108,79.931097,8.85,Silty,Maize,2026-02-20
F0109,FD0109,15.955979,78.024915,9.6,Clay,Soybean,2026-03-19
F0110,FD0110,20.601759,77.303293,2.26,Black,Cotton,2026-03-30
F0111,FD0111,18.696471,77.792171,1.5,Red,Rice,2026-01-04
F0112,FD0112,20.597454,79.078647,2.03,Loamy,Soybean,2026-04-28
F0113,FD0113,19.743852,75.983897,11.14,Red,Rice,2026-06-07
F0114,FD0114,20.349195,76.805383,7.51,Silty,Soybean,2026-06-01
F0115,FD0115,17.110373,79.313705,12.55,Clay,Rice,2026-04-26
F0116,FD0116,16.963181,76.217668,9.35,Silty,Rice,2026-01-08
F0117,FD0117,18.465839,75.100113,7.57,Loamy,Rice,2026-03-29
F0118,FD0118,17.177951,77.26924,13.26,Black,Cotton,2026-05-13
F0119,FD0119,21.188375,73.184904,10.94,Silty,Sugarcane,2026-03-03
F0120,FD0120,19.643656,77.667223,7.62,Clay,Cotton,2026-03-17
F0121,FD0121,16.829578,78.034297,4.94,Black,Rice,2026-05-02
F0122,FD0122,18.820838,75.250059,14.95,Black,Rice,2026-04-01
F0123,FD0123,19.71713,74.667331,4.15,Clay,Soybean,2026-02-19
F0124,FD0124,17.393288,78.443049,14.29,Red,Wheat,2026-02-19
F0125,FD0125,16.798308,76.373589,11.01,Black,Sugarcane,2026-03-14
F0126,FD0126,21.383064,79.161027,4.8,Loamy,Wheat,2026-03-19
F0127,FD0127,15.58489,76.773081,4.48,Clay,Sugarcane,2026-03-16
F0128,FD0128,19.684504,73.510236,13.09,Silty,Cotton,2026-01-04
F0129,FD0129,18.944385,76.255176,6.89,Sandy,Cotton,2026-03-06
F0130,FD0130,21.146382,76.321833,12.42,Silty,Maize,2026-01-19
F0131,FD0131,18.962127,77.991608,2.7,Black,Rice,2026-01-22
F0132,FD0132,21.463509,73.447612,11.58,Black,Sugarcane,2026-06-08
F0133,FD0133,16.854123,76.68058,7.03,Silty,Rice,2026-05-31
F0134,FD0134,21.440188,74.943042,9.5,Black,Soybean,2026-01-26
F0135,FD0135,21.185541,74.162303,3.56,Red,Cotton,2026-02-10
F0136,FD0136,16.939191,76.915938,2.77,Silty,Maize,2026-06-26
F0137,FD0137,19.062867,74.830074,3.86,Red,Rice,2026-06-29
F0138,FD0138,20.65764,73.069438,3.88,Loamy,Soybean,2026-05-31
F0139,FD0139,19.467098,79.969348,6.66,Black,Wheat,2026-06-15
F0140,FD0140,16.393936,74.62506,2.56,Clay,Wheat,2026-03-20
F0141,FD0141,19.070264,79.093922,13.86,Silty,Cotton,2026-04-30
F0142,FD0142,19.632068,78.097869,14.17,Black,Sugarcane,2026-05-07
F0143,FD0143,18.126553,77.284293,13.4,Red,Rice,2026-06-04
F0144,FD0144,17.002207,73.230615,14.45,Black,Sugarcane,2026-01-06
F0145,FD0145,21.497435,77.878253,4.41,Clay,Wheat,2026-05-01
F0146,FD0146,18.613783,76.037835,4.53,Black,Maize,2026-06-12
F0147,FD0147,20.38547,80.252442,7.32,Silty,Rice,2026-03-24
F0148,FD0148,19.520801,79.361865,5.28,Red,Maize,2026-03-15
F0149,FD0149,19.475501,75.703618,11.53,Clay,Maize,2026-01-23
F0150,FD0150,17.387103,75.08619,14.57,Silty,Sugarcane,2026-01-01
F0151,FD0151,19.445962,76.840749,6.49,Sandy,Sugarcane,2026-04-03
F0152,FD0152,19.235803,76.487945,6.91,Clay,Wheat,2026-03-10
F0153,FD0153,18.795318,79.921382,6.85,Red,Maize,2026-02-01
F0154,FD0154,15.673217,77.540178,12.09,Red,Wheat,2026-03-21
F0155,FD0155,18.805034,76.918011,1.85,Clay,Maize,2026-01-31
F0156,FD0156,19.386258,73.731769,14.02,Loamy,Sugarcane,2026-06-30
F0157,FD0157,17.140549,79.177792,14.71,Sandy,Maize,2026-05-22
F0158,FD0158,16.367852,74.024883,9.19,Red,Wheat,2026-01-18
F0159,FD0159,17.157484,78.820049,6.52,Black,Rice,2026-01-01
F0160,FD0160,17.197034,74.888447,9.01,Red,Maize,2026-02-08
F0161,FD0161,18.179284,76.374731,5.32,Black,Maize,2026-04-27
F0162,FD0162,21.097114,79.456813,14.72,Sandy,Sugarcane,2026-04-09
F0163,FD0163,16.901375,78.704356,1.13,Red,Maize,2026-06-30
F0164,FD0164,20.980581,75.549849,14.83,Red,Wheat,2026-05-07
F0165,FD0165,21.288947,73.50997,14.5,Loamy,Cotton,2026-04-23
F0166,FD0166,16.09827,79.783533,0.72,Sandy,Maize,2026-06-17
F0167,FD0167,21.319741,73.098626,11.83,Loamy,Rice,2026-06-09
F0168,FD0168,19.656228,77.698693,12.85,Red,Sugarcane,2026-04-08
F0169,FD0169,21.224838,77.514393,13.37,Silty,Sugarcane,2026-01-10
F0170,FD0170,19.204757,74.378162,10.42,Loamy,Wheat,2026-01-24
F0171,FD0171,18.103829,73.287545,9.69,Clay,Maize,2026-02-12
F0172,FD0172,19.664007,79.727392,1.17,Clay,Rice,2026-04-02
F0173,FD0173,17.749047,73.664558,8.2,Black,Soybean,2026-02-16
F0174,FD0174,16.519902,73.131747,13.13,Black,Soybean,2026-03-03
F0175,FD0175,18.486004,77.165257,3.87,Red,Rice,2026-04-28
F0176,FD0176,17.03196,72.575179,12.17,Loamy,Soybean,2026-05-20
F0177,FD0177,16.447854,76.033838,5.51,Black,Rice,2026-06-13
F0178,FD0178,21.272174,78.022508,7.12,Loamy,Wheat,2026-04-09
F0179,FD0179,20.620013,73.353226,6.03,Loamy,Sugarcane,2026-03-17
F0180,FD0180,21.456152,74.861846,14.68,Red,Maize,2026-03-12
F0181,FD0181,15.548588,79.420539,11.79,Clay,Sugarcane,2026-05-08
F0182,FD0182,20.497033,79.723479,11.75,Sandy,Sugarcane,2026-04-01
F0183,FD0183,16.814027,74.021056,4.13,Red,Soybean,2026-06-24
F0184,FD0184,20.530023,77.525985,13.6,Red,Cotton,2026-03-21
F0185,FD0185,20.231663,72.766916,5.79,Sandy,Cotton,2026-03-17
F0186,FD0186,17.460315,75.824025,3.41,Black,Rice,2026-05-16
F0187,FD0187,18.510769,74.680219,2.89,Silty,Rice,2026-03-28
F0188,FD0188,20.325395,76.246651,1.59,Sandy,Soybean,2026-06-22
F0189,FD0189,21.379653,80.238158,12.17,Loamy,Cotton,2026-04-12
F0190,FD0190,15.583512,76.792578,7.09,Red,Soybean,2026-06-22
F0191,FD0191,17.072968,75.548204,9.76,Loamy,Cotton,2026-06-22
F0192,FD0192,16.902931,72.700197,13.32,Black,Rice,2026-06-06
F0193,FD0193,16.828203,73.005736,12.45,Red,Rice,2026-06-16
F0194,FD0194,17.949775,73.618216,14.22,Loamy,Maize,2026-01-30
F0195,FD0195,16.083152,79.598074,2.47,Silty,Rice,2026-06-21
F0196,FD0196,21.196285,78.071872,8.33,Black,Soybean,2026-02-09
F0197,FD0197,20.812483,77.739375,12.59,Black,Maize,2026-03-13
F0198,FD0198,15.696298,75.46424,6.93,Sandy,Rice,2026-01-26
F0199,FD0199,21.385566,75.43868,13.57,Red,Rice,2026-01-16
F0200,FD0200,17.888838,74.018468,2.27,Silty,Cotton,2026-06-19
F0201,FD0201,16.772635,77.615943,14.58,Clay,Rice,2026-03-04
F0202,FD0202,21.432925,78.795825,3.48,Black,Wheat,2026-05-31
F0203,FD0203,16.795708,79.457563,5.26,Sandy,Sugarcane,2026-01-01
F0204,FD0204,17.163649,80.372225,14.82,Black,Rice,2026-02-14
F0205,FD0205,16.159558,79.431583,2.41,Loamy,Wheat,2026-05-31
F0206,FD0206,17.442629,73.89397,1.26,Red,Maize,2026-05-15
F0207,FD0207,16.181896,73.008464,7.0,Loamy,Sugarcane,2026-06-01
F0208,FD0208,16.154324,76.53071,14.21,Clay,Soybean,2026-06-18
F0209,FD0209,18.628707,76.16434,14.48,Clay,Maize,2026-04-13
F0210,FD0210,18.057642,73.363695,10.83,Silty,Cotton,2026-01-21
F0211,FD0211,17.432671,73.686671,2.33,Black,Soybean,2026-05-30
F0212,FD0212,18.790139,75.101484,14.92,Black,Rice,2026-04-27
F0213,FD0213,18.533306,75.941595,12.0,Clay,Soybean,2026-06-16
F0214,FD0214,20.766237,76.910682,13.05,Silty,Maize,2026-02-28
F0215,FD0215,17.982881,79.119354,6.28,Red,Cotton,2026-03-22
F0216,FD0216,18.060584,77.820863,5.93,Sandy,Soybean,2026-05-02
F0217,FD0217,15.9028,79.154175,1.85,Clay,Soybean,2026-04-06
F0218,FD0218,20.370616,76.950966,9.0,Black,Sugarcane,2026-03-26
F0219,FD0219,19.52008,75.786469,13.17,Silty,Soybean,2026-01-14
F0220,FD0220,21.310392,77.303281,5.6,Black,Sugarcane,2026-02-24
F0221,FD0221,16.428381,76.357515,12.79,Loamy,Sugarcane,2026-04-05
F0222,FD0222,16.189312,74.728546,3.78,Silty,Sugarcane,2026-06-09
F0223,FD0223,19.18144,77.641593,0.88,Red,Soybean,2026-03-10
F0224,FD0224,15.673719,74.686163,11.55,Loamy,Rice,2026-01-02
F0225,FD0225,16.588433,73.646012,10.03,Clay,Wheat,2026-06-12
F0226,FD0226,21.330862,73.234061,8.19,Silty,Maize,2026-04-27
F0227,FD0227,17.545376,75.460425,10.96,Black,Sugarcane,2026-01-22
F0228,FD0228,20.800053,73.744639,11.44,Clay,Soybean,2026-01-21
F0229,FD0229,17.132617,77.79551,7.54,Silty,Maize,2026-03-11
F0230,FD0230,16.793414,76.59877,5.51,Clay,Rice,2026-06-23
F0231,FD0231,19.570918,76.393062,10.17,Clay,Wheat,2026-04-12
F0232,FD0232,21.406674,72.938256,3.46,Sandy,Wheat,2026-03-07
F0233,FD0233,17.236683,73.459875,7.71,Silty,Wheat,2026-02-03
F0234,FD0234,17.781245,78.12937,7.75,Red,Rice,2026-01-19
F0235,FD0235,17.882427,78.436331,6.83,Silty,Cotton,2026-03-22
F0236,FD0236,18.954555,77.087197,10.79,Silty,Rice,2026-01-30
F0237,FD0237,17.930194,80.229598,2.99,Black,Maize,2026-06-26
F0238,FD0238,21.018619,73.205039,12.75,Sandy,Maize,2026-05-31
F0239,FD0239,17.902699,73.129177,13.12,Red,Rice,2026-02-26
F0240,FD0240,17.498412,73.845062,7.9,Clay,Sugarcane,2026-05-11
F0241,FD0241,16.663422,78.709826,5.59,Red,Wheat,2026-03-02
F0242,FD0242,16.116827,74.547746,3.02,Sandy,Soybean,2026-01-20
F0243,FD0243,16.562877,78.682785,7.66,Black,Sugarcane,2026-04-25
F0244,FD0244,19.586801,79.556385,9.82,Black,Rice,2026-06-10
F0245,FD0245,17.396833,76.018103,7.3,Red,Rice,2026-03-12
F0246,FD0246,19.048519,75.315538,1.58,Silty,Maize,2026-01-10
F0247,FD0247,15.84134,79.153573,1.61,Clay,Sugarcane,2026-06-02
F0248,FD0248,18.542407,76.201693,8.54,Red,Cotton,2026-04-26
F0249,FD0249,20.9543,77.073253,3.23,Black,Maize,2026-05-09
F0250,FD0250,16.405166,72.99499,2.0,Loamy,Soybean,2026-01-22
F0251,FD0251,18.527294,73.880471,4.09,Silty,Maize,2026-05-15
F0252,FD0252,18.636488,73.76997,5.91,Loamy,Maize,2026-04-15
F0253,FD0253,20.146789,77.931182,1.26,Red,Soybean,2026-03-27
F0254,FD0254,15.895471,73.256048,10.34,Loamy,Rice,2026-06-18
F0255,FD0255,21.28646,77.321607,2.68,Clay,Sugarcane,2026-06-19
F0256,FD0256,16.34857,75.298566,14.53,Red,Soybean,2026-04-11
F0257,FD0257,16.27371,78.170672,1.73,Black,Maize,2026-06-14
F0258,FD0258,20.249972,79.005478,10.22,Red,Soybean,2026-05-15
F0259,FD0259,16.060718,77.863648,7.87,Clay,Rice,2026-03-21
F0260,FD0260,16.581578,74.213541,14.24,Silty,Wheat,2026-02-27
F0261,FD0261,21.49986,73.739561,4.79,Clay,Sugarcane,2026-05-19
F0262,FD0262,20.510719,79.569457,1.05,Loamy,Sugarcane,2026-02-03
F0263,FD0263,19.083479,73.734022,3.12,Red,Sugarcane,2026-02-12
F0264,FD0264,19.827098,72.849539,5.78,Red,Wheat,2026-04-24
F0265,FD0265,19.163573,78.519129,11.87,Sandy,Sugarcane,2026-03-03
F0266,FD0266,17.356807,78.968991,7.3,Sandy,Rice,2026-06-23
F0267,FD0267,21.182781,80.375518,7.19,Loamy,Maize,2026-05-09
F0268,FD0268,18.664759,80.230145,12.34,Black,Wheat,2026-03-06
F0269,FD0269,15.813079,76.344725,5.88,Clay,Soybean,2026-05-13
F0270,FD0270,20.606996,74.780504,11.57,Loamy,Maize,2026-05-12
F0271,FD0271,16.384092,75.99978,14.22,Sandy,Maize,2026-03-31
F0272,FD0272,21.082832,75.819175,6.25,Loamy,Wheat,2026-04-09
F0273,FD0273,21.467152,75.499301,0.91,Clay,Soybean,2026-06-16
F0274,FD0274,17.511742,73.668394,1.06,Silty,Soybean,2026-02-05
F0275,FD0275,20.053047,76.252881,9.42,Clay,Cotton,2026-03-07
F0276,FD0276,16.793928,73.696157,14.13,Black,Sugarcane,2026-04-19
F0277,FD0277,16.167121,74.804813,4.87,Clay,Wheat,2026-04-18
F0278,FD0278,19.33371,77.482485,1.41,Silty,Sugarcane,2026-05-18
F0279,FD0279,15.598612,76.623006,4.01,Sandy,Rice,2026-04-20
F0280,FD0280,15.509386,75.322528,8.77,Sandy,Soybean,2026-06-21
F0281,FD0281,16.013684,80.297236,1.48,Black,Sugarcane,2026-05-10
F0282,FD0282,20.218474,76.560981,0.79,Silty,Cotton,2026-06-12
F0283,FD0283,17.821288,75.486419,11.34,Loamy,Cotton,2026-03-30
F0284,FD0284,16.946756,77.756835,2.0,Black,Soybean,2026-03-27
F0285,FD0285,16.300458,75.318392,5.41,Red,Wheat,2026-06-25
F0286,FD0286,18.287737,78.063114,9.66,Sandy,Cotton,2026-04-28
F0287,FD0287,15.721903,74.112728,11.97,Clay,Rice,2026-03-21
F0288,FD0288,18.592302,80.412982,8.37,Loamy,Cotton,2026-06-15
F0289,FD0289,16.646621,75.355793,11.82,Red,Rice,2026-03-11
F0290,FD0290,16.24685,75.444153,13.4,Red,Maize,2026-04-09
F0291,FD0291,17.53422,73.994538,10.53,Loamy,Sugarcane,2026-03-10
F0292,FD0292,20.306889,78.316651,1.64,Black,Wheat,2026-05-20
F0293,FD0293,17.262599,73.320783,5.25,Loamy,Rice,2026-04-25
F0294,FD0294,19.11573,75.908929,10.5,Loamy,Maize,2026-01-11
F0295,FD0295,19.860886,79.792858,9.42,Silty,Rice,2026-06-13
F0296,FD0296,21.380164,80.083235,1.59,Red,Maize,2026-04-04
F0297,FD0297,18.578516,78.499184,2.82,Clay,Wheat,2026-06-05
F0298,FD0298,19.568533,76.005383,2.33,Sandy,Soybean,2026-04-04
F0299,FD0299,17.672903,80.095737,0.97,Sandy,Soybean,2026-04-26
F0300,FD0300,21.192941,75.476107,11.56,Black,Wheat,2026-05-16
F0301,FD0301,17.7017,75.015084,4.54,Clay,Cotton,2026-02-17
F0302,FD0302,18.494264,75.595899,8.64,Loamy,Rice,2026-06-30
F0303,FD0303,18.177639,80.470921,4.64,Silty,Wheat,2026-02-01
F0304,FD0304,16.314371,73.092416,3.0,Red,Maize,2026-01-23
F0305,FD0305,20.363079,80.24049,14.81,Red,Rice,2026-01-17
F0306,FD0306,18.799983,74.822898,4.85,Sandy,Soybean,2026-06-29
F0307,FD0307,19.3262,78.849571,7.88,Clay,Wheat,2026-02-05
F0308,FD0308,16.920417,76.452175,5.73,Black,Rice,2026-04-30
F0309,FD0309,20.32197,76.913175,9.37,Clay,Cotton,2026-03-21
F0310,FD0310,17.88896,78.235469,7.44,Silty,Maize,2026-05-28
F0311,FD0311,15.942504,80.279038,9.81,Silty,Maize,2026-06-24
F0312,FD0312,18.60416,73.526677,12.52,Black,Soybean,2026-05-31
F0313,FD0313,16.591779,80.230117,6.77,Clay,Cotton,2026-05-13
F0314,FD0314,16.418093,73.817257,5.18,Red,Wheat,2026-03-30
F0315,FD0315,21.184899,76.651182,4.62,Clay,Rice,2026-02-20
F0316,FD0316,19.310343,76.906731,2.31,Loamy,Sugarcane,2026-05-17
F0317,FD0317,16.06057,77.627899,9.08,Black,Wheat,2026-02-13
F0318,FD0318,19.452397,78.265062,9.27,Black,Cotton,2026-01-08
F0319,FD0319,15.987337,80.088375,11.68,Loamy,Soybean,2026-02-23
F0320,FD0320,20.101754,75.832694,9.77,Silty,Soybean,2026-05-20
F0321,FD0321,17.23803,80.153201,7.5,Red,Maize,2026-03-18
F0322,FD0322,18.221265,78.008909,2.79,Silty,Maize,2026-04-29
F0323,FD0323,16.724138,77.353282,5.03,Red,Rice,2026-03-30
F0324,FD0324,21.352245,73.546129,5.87,Black,Cotton,2026-03-23
F0325,FD0325,16.950427,73.480175,7.02,Sandy,Cotton,2026-01-13
F0326,FD0326,17.241272,75.573199,9.42,Sandy,Wheat,2026-03-25
F0327,FD0327,21.102509,78.269027,3.25,Sandy,Maize,2026-05-12
F0328,FD0328,18.300891,79.532605,7.71,Clay,Maize,2026-05-10
F0329,FD0329,18.243384,74.425829,8.96,Clay,Cotton,2026-03-14
F0330,FD0330,18.469365,79.558716,9.99,Silty,Rice,2026-05-18
F0331,FD0331,15.549064,73.359977,2.44,Loamy,Soybean,2026-04-04
F0332,FD0332,20.083141,75.427499,6.31,Black,Sugarcane,2026-02-19
F0333,FD0333,17.675143,74.808814,6.1,Silty,Sugarcane,2026-03-13
F0334,FD0334,20.451868,77.485933,9.36,Sandy,Cotton,2026-04-11
F0335,FD0335,17.73919,80.394301,8.59,Loamy,Wheat,2026-02-20
F0336,FD0336,19.114778,75.711097,1.08,Clay,Wheat,2026-03-27
F0337,FD0337,20.323795,76.654662,2.66,Black,Wheat,2026-03-25
F0338,FD0338,21.088212,75.04824,6.2,Black,Soybean,2026-03-18
F0339,FD0339,19.062348,76.55852,7.89,Silty,Soybean,2026-05-25
F0340,FD0340,17.298743,79.025991,5.84,Red,Cotton,2026-04-17
F0341,FD0341,19.002213,78.874039,11.02,Red,Soybean,2026-01-07
F0342,FD0342,19.081458,74.624243,10.01,Black,Sugarcane,2026-02-28
F0343,FD0343,19.828401,77.168186,2.97,Red,Soybean,2026-06-08
F0344,FD0344,20.147637,75.541523,12.41,Sandy,Cotton,2026-05-27
F0345,FD0345,21.189231,73.379164,0.77,Loamy,Maize,2026-02-08
F0346,FD0346,17.977761,74.131133,7.78,Black,Maize,2026-01-16
F0347,FD0347,19.734651,76.649466,8.63,Red,Maize,2026-05-15
F0348,FD0348,17.760949,80.153484,7.17,Black,Rice,2026-05-20
F0349,FD0349,17.625722,78.675918,10.95,Red,Soybean,2026-03-09
F0350,FD0350,19.160459,74.038113,4.07,Black,Rice,2026-02-27
F0351,FD0351,21.148913,80.358082,11.68,Red,Wheat,2026-06-26
F0352,FD0352,19.72993,75.036326,5.56,Red,Rice,2026-03-15
F0353,FD0353,16.231245,77.912978,6.01,Silty,Rice,2026-02-07
F0354,FD0354,17.242716,74.801043,10.86,Loamy,Maize,2026-06-17
F0355,FD0355,17.038664,76.332634,3.43,Black,Rice,2026-05-24
F0356,FD0356,19.677028,73.598184,9.43,Black,Wheat,2026-03-04
F0357,FD0357,15.804593,79.741474,3.77,Sandy,Cotton,2026-01-26
F0358,FD0358,17.979808,78.238864,1.96,Sandy,Cotton,2026-05-21
