timestamp,farm_id,mulch_type,degradation_percent,evaporation_reduction,temperature_reduction,status
2026-01-01 03:05:00,F0885,Biodegradable,65.9,31.26,3.88,Healthy
2026-01-01 03:10:00,F0413,Biodegradable,67.34,69.05,1.69,Needs Replacement
2026-01-01 03:15:00,F0550,Organic,80.06,16.56,2.34,Healthy
2026-01-01 03:20:00,F0946,Plastic,42.19,26.71,2.75,Needs Replacement
2026-01-01 03:25:00,F0668,Biodegradable,80.8,61.36,1.69,Healthy
2026-01-01 03:30:00,F0171,Organic,96.9,65.58,6.94,Needs Replacement
2026-01-01 03:35:00,F0169,Organic,48.14,61.88,7.32,Healthy
2026-01-01 03:40:00,F0466,Organic,98.53,25.91,6.49,Needs Replacement
2026-01-01 03:45:00,F0678,Biodegradable,69.66,53.83,6.48,Needs Replacement
2026-01-01 03:50:00,F0594,Biodegradable,15.48,27.8,7.78,Damaged
2026-01-01 03:55:00,F0489,Biodegradable,6.1,28.82,1.35,Damaged
2026-01-01 04:00:00,F0191,Plastic,15.74,67.65,1.56,Damaged
2026-01-01 04:05:00,F0965,Biodegradable,6.8,61.71,3.83,Healthy
2026-01-01 04:10:00,F0674,Biodegradable,57.89,12.38,1.57,Damaged
2026-01-01 04:15:00,F0734,Organic,52.28,66.08,2.43,Healthy
2026-01-01 04:20:00,F0469,Organic,26.56,17.85,5.52,Healthy
2026-01-01 04:25:00,F0103,Plastic,0.93,47.27,4.94,Damaged
2026-01-01 04:30:00,F0903,Plastic,21.32,25.91,7.53,Healthy
2026-01-01 04:35:00,F0721,Organic,36.95,19.46,6.84,Damaged
2026-01-01 04:40:00,F0684,Biodegradable,98.39,58.43,4.7,Needs Replacement
2026-01-01 04:45:00,F0271,Plastic,93.18,16.22,7.15,Healthy
2026-01-01 04:50:00,F0216,Biodegradable,74.24,19.33,2.97,Needs Replacement
2026-01-01 04:55:00,F0501,Organic,20.36,48.05,2.85,Healthy
2026-01-01 05:00:00,F0004,Organic,9.23,35.41,2.94,Healthy
2026-01-01 05:05:00,F0565,Biodegradable,63.71,25.72,6.19,Needs Replacement
2026-01-01 05:10:00,F0708,Plastic,56.09,16.71,7.62,Damaged
2026-01-01 05:15:00,F0441,Plastic,3.6,32.15,4.87,Healthy
2026-01-01 05:20:00,F0882,Plastic,30.83,63.94,6.57,Needs Replacement
2026-01-01 05:25:00,F0799,Biodegradable,21.01,24.97,1.72,Needs Replacement
2026-01-01 05:30:00,F0243,Plastic,97.38,54.97,7.48,Healthy
2026-01-01 05:35:00,F0341,Organic,88.14,11.49,6.16,Damaged
2026-01-01 05:40:00,F0807,Biodegradable,86.41,58.64,2.87,Healthy
2026-01-01 05:45:00,F0205,Organic,38.25,12.32,4.29,Needs Replacement
2026-01-01 05:50:00,F0025,Biodegradable,30.52,57.72,2.59,Healthy
2026-01-01 05:55:00,F0792,Organic,39.85,26.72,1.49,Needs Replacement
2026-01-01 06:00:00,F0550,Organic,64.15,33.98,7.87,Healthy
2026-01-01 06:05:00,F0986,Organic,11.53,68.22,2.25,Healthy
2026-01-01 06:10:00,F0322,Organic,10.84,36.07,6.1,Damaged
2026-01-01 06:15:00,F0195,Organic,98.42,16.94,7.3,Healthy
2026-01-01 06:20:00,F0552,Biodegradable,70.88,10.1,7.48,Damaged
2026-01-01 06:25:00,F0442,Plastic,94.03,54.22,2.38,Damaged
2026-01-01 06:30:00,F0128,Biodegradable,92.08,47.39,5.64,Needs Replacement
2026-01-01 06:35:00,F0714,Organic,50.71,50.01,3.28,Damaged
2026-01-01 06:40:00,F0694,Biodegradable,12.73,35.23,7.58,Healthy
2026-01-01 06:45:00,F0001,Organic,61.55,28.06,4.84,Needs Replacement
2026-01-01 06:50:00,F0330,Organic,21.02,57.15,5.25,Needs Replacement
2026-01-01 06:55:00,F0923,Biodegradable,44.22,22.82,4.31,Healthy
2026-01-01 07:00:00,F0635,Organic,65.89,27.03,5.65,Healthy
2026-01-01 07:05:00,F0231,Plastic,81.84,55.07,5.71,Healthy
2026-01-01 07:10:00,F0871,Plastic,2.44,24.69,4.33,Needs Replacement
2026-01-01 07:15:00,F0714,Organic,41.44,47.79,2.36,Needs Replacement
2026-01-01 07:20:00,F0915,Plastic,39.97,18.85,5.81,Needs Replacement
2026-01-01 07:25:00,F0476,Plastic,21.88,58.25,5.87,Damaged
2026-01-01 07:30:00,F0821,Organic,24.92,60.9,4.2,Damaged
2026-01-01 07:35:00,F0774,Organic,53.11,43.54,3.22,Damaged
2026-01-01 07:40:00,F0929,Biodegradable,81.5,63.52,3.99,Needs Replacement
2026-01-01 07:45:00,F0266,Plastic,89.72,54.62,4.32,Damaged
2026-01-01 07:50:00,F0245,Organic,27.73,56.66,4.39,Needs Replacement
2026-01-01 07:55:00,F0328,Biodegradable,7.75,27.14,2.9,Healthy
2026-01-01 08:00:00,F0724,Plastic,13.84,23.88,5.86,Healthy
2026-01-01 08:05:00,F0064,Plastic,41.49,29.85,4.26,Needs Replacement
2026-01-01 08:10:00,F0021,Biodegradable,38.95,56.19,7.62,Needs Replacement
2026-01-01 08:15:00,F0400,Organic,47.7,66.56,3.09,Damaged
2026-01-01 08:20:00,F0226,Organic,74.75,42.77,5.22,Healthy
2026-01-01 08:25:00,F0685,Biodegradable,27.29,39.14,3.72,Needs Replacement
2026-01-01 08:30:00,F0638,Biodegradable,72.42,60.43,7.44,Healthy
2026-01-01 08:35:00,F0086,Biodegradable,90.69,45.51,5.64,Needs Replacement
2026-01-01 08:40:00,F0389,Organic,13.57,37.7,1.35,Healthy
2026-01-01 08:45:00,F0285,Organic,45.47,30.25,7.16,Needs Replacement
2026-01-01 08:50:00,F0054,Organic,83.49,38.22,6.24,Healthy
2026-01-01 08:55:00,F0773,Plastic,65.01,56.87,5.56,Healthy
2026-01-01 09:00:00,F0130,Organic,19.94,11.22,2.07,Damaged
2026-01-01 09:05:00,F0263,Organic,11.44,66.87,4.26,Healthy
2026-01-01 09:10:00,F0797,Plastic,60.59,67.82,6.03,Needs Replacement
2026-01-01 09:15:00,F0694,Organic,10.81,11.54,3.18,Needs Replacement
2026-01-01 09:20:00,F0851,Biodegradable,94.15,21.9,5.14,Healthy
2026-01-01 09:25:00,F0615,Plastic,10.19,56.35,6.95,Damaged
2026-01-01 09:30:00,F0380,Plastic,78.26,30.83,4.0,Damaged
2026-01-01 09:35:00,F0502,Plastic,64.75,10.76,3.94,Needs Replacement
2026-01-01 09:40:00,F0725,Plastic,96.08,48.14,6.8,Needs Replacement
2026-01-01 09:45:00,F0631,Biodegradable,17.61,41.3,5.55,Needs Replacement
2026-01-01 09:50:00,F0331,Plastic,46.49,59.54,5.15,Healthy
2026-01-01 09:55:00,F0584,Biodegradable,27.89,37.05,6.25,Damaged
2026-01-01 10:00:00,F0187,Organic,37.9,11.72,6.96,Healthy
2026-01-01 10:05:00,F0611,Biodegradable,35.48,25.5,2.96,Needs Replacement
2026-01-01 10:10:00,F0248,Biodegradable,55.58,41.0,2.34,Needs Replacement
2026-01-01 10:15:00,F0662,Biodegradable,48.86,55.49,5.83,Needs Replacement
2026-01-01 10:20:00,F0415,Biodegradable,44.82,11.03,3.06,Healthy
2026-01-01 10:25:00,F0544,Organic,30.62,44.89,4.31,Needs Replacement
2026-01-01 10:30:00,F0465,Organic,99.66,43.02,3.46,Needs Replacement
2026-01-01 10:35:00,F0123,Biodegradable,25.14,17.24,2.35,Damaged
2026-01-01 10:40:00,F0757,Organic,95.09,51.41,2.34,Needs Replacement
2026-01-01 10:45:00,F0290,Plastic,72.46,68.6,4.67,Healthy
2026-01-01 10:50:00,F0726,Biodegradable,29.62,31.65,3.12,Healthy
2026-01-01 10:55:00,F0715,Plastic,27.43,68.46,4.87,Damaged
2026-01-01 11:00:00,F0588,Organic,86.85,39.45,7.11,Needs Replacement
2026-01-01 11:05:00,F0259,Organic,47.87,30.44,7.76,Healthy
2026-01-01 11:10:00,F0645,Biodegradable,82.21,34.04,1.52,Healthy
2026-01-01 11:15:00,F0088,Plastic,15.17,58.67,7.64,Healthy
2026-01-01 11:20:00,F0634,Plastic,55.81,34.97,5.17,Damaged
2026-01-01 11:25:00,F0603,Organic,38.04,64.51,3.08,Needs Replacement
2026-01-01 11:30:00,F0102,Plastic,56.86,13.61,7.72,Damaged
2026-01-01 11:35:00,F0178,Biodegradable,21.1,49.63,2.1,Healthy
2026-01-01 11:40:00,F0482,Organic,15.65,34.51,5.83,Healthy
2026-01-01 11:45:00,F0465,Plastic,23.15,52.42,5.92,Damaged
2026-01-01 11:50:00,F0604,Biodegradable,23.34,25.87,6.54,Healthy
2026-01-01 11:55:00,F0931,Organic,42.51,42.67,5.53,Healthy
2026-01-01 12:00:00,F0767,Biodegradable,7.14,19.96,3.15,Needs Replacement
2026-01-01 12:05:00,F0413,Organic,43.92,38.12,3.13,Damaged
2026-01-01 12:10:00,F0911,Organic,54.0,36.27,5.19,Damaged
2026-01-01 12:15:00,F0985,Biodegradable,32.23,25.02,1.64,Damaged
2026-01-01 12:20:00,F0842,Organic,58.71,11.24,6.35,Damaged
2026-01-01 12:25:00,F0668,Organic,4.02,55.38,4.29,Needs Replacement
2026-01-01 12:30:00,F0504,Plastic,18.15,45.12,5.44,Needs Replacement
2026-01-01 12:35:00,F0879,Plastic,34.8,30.0,5.69,Needs Replacement
2026-01-01 12:40:00,F0411,Biodegradable,41.16,39.73,5.64,Healthy
2026-01-01 12:45:00,F0994,Organic,45.48,28.87,3.26,Damaged
2026-01-01 12:50:00,F0474,Organic,82.49,10.07,7.09,Healthy
2026-01-01 12:55:00,F0641,Organic,18.76,31.71,6.3,Healthy
2026-01-01 13:00:00,F0449,Biodegradable,20.36,42.95,7.49,Needs Replacement
2026-01-01 13:05:00,F0246,Biodegradable,12.14,68.39,5.26,Healthy
2026-01-01 13:10:00,F0231,Plastic,31.08,10.82,3.86,Needs Replacement
2026-01-01 13:15:00,F0956,Biodegradable,94.71,48.86,2.08,Needs Replacement
2026-01-01 13:20:00,F0484,Plastic,50.89,26.41,6.84,Needs Replacement
2026-01-01 13:25:00,F0521,Biodegradable,55.13,33.02,7.45,Healthy
2026-01-01 13:30:00,F0425,Organic,86.4,26.57,6.53,Damaged
2026-01-01 13:35:00,F0858,Biodegradable,26.72,10.15,6.08,Damaged
2026-01-01 13:40:00,F0552,Organic,99.89,39.38,2.04,Needs Replacement
2026-01-01 13:45:00,F0956,Organic,33.24,55.77,3.64,Healthy
2026-01-01 13:50:00,F0877,Organic,98.08,24.33,3.68,Healthy
2026-01-01 13:55:00,F0391,Organic,31.82,38.38,7.39,Damaged
2026-01-01 14:00:00,F0988,Plastic,79.24,49.12,2.06,Healthy
2026-01-01 14:05:00,F0896,Organic,50.23,45.41,7.09,Healthy
2026-01-01 14:10:00,F0420,Biodegradable,52.6,37.42,6.06,Healthy
2026-01-01 14:15:00,F0639,Biodegradable,7.48,56.89,2.86,Needs Replacement
2026-01-01 14:20:00,F0880,Biodegradable,64.98,61.11,6.97,Needs Replacement
2026-01-01 14:25:00,F0500,Biodegradable,95.41,47.61,7.21,Healthy
2026-01-01 14:30:00,F0295,Plastic,61.75,24.09,5.79,Damaged
2026-01-01 14:35:00,F0721,Plastic,9.04,68.7,6.32,Needs Replacement
2026-01-01 14:40:00,F0333,Plastic,16.64,27.97,1.2,Needs Replacement
2026-01-01 14:45:00,F0422,Biodegradable,35.85,35.84,2.71,Damaged
2026-01-01 14:50:00,F0892,Organic,79.25,20.2,1.55,Damaged
2026-01-01 14:55:00,F0238,Organic,68.31,39.86,5.08,Damaged
2026-01-01 15:00:00,F0824,Organic,25.4,25.32,1.07,Needs Replacement
2026-01-01 15:05:00,F0354,Biodegradable,67.76,19.48,4.09,Needs Replacement
2026-01-01 15:10:00,F0866,Organic,63.89,35.46,2.75,Healthy
2026-01-01 15:15:00,F0391,Biodegradable,99.94,61.2,1.75,Needs Replacement
2026-01-01 15:20:00,F0850,Biodegradable,57.48,69.56,3.07,Needs Replacement
2026-01-01 15:25:00,F0763,Plastic,27.45,43.96,5.8,Damaged
2026-01-01 15:30:00,F0795,Plastic,74.52,59.97,7.32,Damaged
2026-01-01 15:35:00,F0257,Biodegradable,80.19,23.14,2.33,Damaged
2026-01-01 15:40:00,F0100,Biodegradable,76.75,50.85,1.96,Damaged
2026-01-01 15:45:00,F0374,Biodegradable,3.94,57.32,1.23,Healthy
2026-01-01 15:50:00,F0180,Plastic,9.01,27.71,6.23,Healthy
2026-01-01 15:55:00,F0514,Organic,78.65,62.59,3.56,Healthy
2026-01-01 16:00:00,F0826,Organic,25.7,59.48,4.37,Damaged
2026-01-01 16:05:00,F0078,Plastic,87.04,58.25,4.28,Healthy
2026-01-01 16:10:00,F0991,Biodegradable,86.01,53.45,7.86,Needs Replacement
2026-01-01 16:15:00,F0127,Organic,9.03,33.67,2.85,Needs Replacement
2026-01-01 16:20:00,F0843,Biodegradable,67.28,50.34,5.09,Needs Replacement
2026-01-01 16:25:00,F0906,Biodegradable,10.83,24.03,1.18,Needs Replacement
2026-01-01 16:30:00,F0844,Organic,91.53,23.28,1.44,Damaged
2026-01-01 16:35:00,F0969,Plastic,30.22,34.5,1.98,Needs Replacement
2026-01-01 16:40:00,F0551,Plastic,99.59,16.97,2.64,Needs Replacement
2026-01-01 16:45:00,F0969,Biodegradable,45.36,50.23,6.2,Needs Replacement
2026-01-01 16:50:00,F0671,Plastic,58.73,53.6,7.2,Needs Replacement
2026-01-01 16:55:00,F0707,Organic,61.57,66.34,2.96,Healthy
2026-01-01 17:00:00,F0102,Biodegradable,44.34,67.03,6.99,Needs Replacement
2026-01-01 17:05:00,F0408,Organic,54.45,68.67,3.51,Healthy
2026-01-01 17:10:00,F0094,Biodegradable,96.82,66.94,6.77,Healthy
2026-01-01 17:15:00,F0806,Organic,64.17,45.83,1.15,Healthy
2026-01-01 17:20:00,F0850,Biodegradable,98.88,57.22,2.44,Healthy
2026-01-01 17:25:00,F0793,Plastic,58.64,58.78,2.63,Damaged
2026-01-01 17:30:00,F0134,Biodegradable,0.28,61.5,2.01,Needs Replacement
2026-01-01 17:35:00,F0135,Plastic,79.85,16.6,7.07,Needs Replacement
2026-01-01 17:40:00,F0179,Organic,79.0,24.28,3.27,Healthy
2026-01-01 17:45:00,F0066,Organic,12.68,35.26,1.8,Needs Replacement
2026-01-01 17:50:00,F0516,Plastic,77.8,40.79,1.76,Damaged
2026-01-01 17:55:00,F0534,Organic,4.34,56.99,7.07,Needs Replacement
2026-01-01 18:00:00,F0868,Organic,64.33,11.87,7.99,Needs Replacement
2026-01-01 18:05:00,F0076,Plastic,68.61,39.42,7.37,Needs Replacement
2026-01-01 18:10:00,F0649,Biodegradable,60.83,13.94,2.93,Damaged
2026-01-01 18:15:00,F0302,Organic,71.22,32.85,5.18,Damaged
2026-01-01 18:20:00,F0874,Biodegradable,60.54,15.95,5.91,Damaged
2026-01-01 18:25:00,F0441,Organic,87.77,43.08,7.06,Healthy
2026-01-01 18:30:00,F0748,Plastic,41.38,59.65,3.79,Needs Replacement
2026-01-01 18:35:00,F0157,Biodegradable,42.68,49.91,3.62,Needs Replacement
2026-01-01 18:40:00,F0099,Biodegradable,6.71,59.91,1.65,Damaged
2026-01-01 18:45:00,F0980,Biodegradable,37.26,17.81,1.42,Damaged
2026-01-01 18:50:00,F0682,Organic,32.96,17.33,3.48,Damaged
2026-01-01 18:55:00,F0107,Biodegradable,5.14,27.26,3.19,Damaged
2026-01-01 19:00:00,F0111,Organic,21.27,49.4,2.57,Damaged
2026-01-01 19:05:00,F0827,Organic,36.76,55.76,5.02,Damaged
2026-01-01 19:10:00,F0659,Biodegradable,97.45,59.11,5.3,Healthy
2026-01-01 19:15:00,F0030,Plastic,60.9,49.47,5.85,Needs Replacement
2026-01-01 19:20:00,F0007,Plastic,70.27,28.54,3.38,Healthy
2026-01-01 19:25:00,F0649,Plastic,56.63,34.05,1.99,Healthy
2026-01-01 19:30:00,F0350,Plastic,74.61,22.91,3.94,Needs Replacement
2026-01-01 19:35:00,F0611,Plastic,31.16,29.46,7.59,Healthy
2026-01-01 19:40:00,F0084,Organic,15.56,55.27,1.35,Needs Replacement
2026-01-01 19:45:00,F0280,Plastic,66.19,39.14,4.09,Damaged
2026-01-01 19:50:00,F0695,Biodegradable,11.38,35.79,2.98,Needs Replacement
2026-01-01 19:55:00,F0614,Plastic,52.69,28.51,2.54,Healthy
2026-01-01 20:00:00,F0783,Organic,20.44,66.72,6.37,Needs Replacement
2026-01-01 20:05:00,F0180,Plastic,32.81,10.46,6.23,Needs Replacement
2026-01-01 20:10:00,F0685,Organic,53.26,23.81,4.91,Healthy
2026-01-01 20:15:00,F0471,Plastic,39.71,54.52,4.05,Needs Replacement
2026-01-01 20:20:00,F0428,Organic,57.58,44.4,5.97,Healthy
2026-01-01 20:25:00,F0971,Biodegradable,40.5,67.97,2.2,Needs Replacement
2026-01-01 20:30:00,F0865,Plastic,83.2,65.19,1.62,Healthy
2026-01-01 20:35:00,F0892,Organic,43.57,34.03,1.55,Damaged
2026-01-01 20:40:00,F0523,Biodegradable,33.95,29.98,2.18,Healthy
2026-01-01 20:45:00,F0360,Biodegradable,53.06,21.63,6.43,Damaged
2026-01-01 20:50:00,F0203,Plastic,81.5,24.18,2.03,Damaged
2026-01-01 20:55:00,F0975,Biodegradable,15.29,55.55,1.53,Needs Replacement
2026-01-01 21:00:00,F0698,Biodegradable,46.4,43.82,5.06,Damaged
2026-01-01 21:05:00,F0643,Organic,63.53,47.47,7.05,Healthy
2026-01-01 21:10:00,F0816,Organic,43.98,38.14,5.42,Damaged
2026-01-01 21:15:00,F0463,Plastic,5.62,40.44,3.17,Healthy
2026-01-01 21:20:00,F0876,Plastic,36.87,27.22,5.51,Damaged
2026-01-01 21:25:00,F0978,Biodegradable,59.41,33.07,5.06,Healthy
2026-01-01 21:30:00,F0330,Biodegradable,44.97,58.59,5.56,Needs Replacement
2026-01-01 21:35:00,F0831,Organic,50.14,67.46,4.15,Damaged
2026-01-01 21:40:00,F0725,Organic,8.43,48.77,1.27,Needs Replacement
2026-01-01 21:45:00,F0940,Organic,52.41,46.59,3.55,Needs Replacement
2026-01-01 21:50:00,F0809,Biodegradable,40.88,30.3,5.19,Damaged
2026-01-01 21:55:00,F0396,Organic,33.46,29.78,4.91,Needs Replacement
2026-01-01 22:00:00,F0895,Plastic,72.37,49.39,7.34,Needs Replacement
2026-01-01 22:05:00,F0318,Biodegradable,8.15,49.82,7.42,Damaged
2026-01-01 22:10:00,F0087,Organic,66.21,17.74,5.96,Damaged
2026-01-01 22:15:00,F0687,Biodegradable,37.67,57.5,6.69,Damaged
2026-01-01 22:20:00,F0687,Organic,99.72,64.75,1.65,Damaged
2026-01-01 22:25:00,F0220,Organic,36.18,31.76,2.26,Needs Replacement
2026-01-01 22:30:00,F0303,Plastic,19.2,70.0,2.08,Damaged
2026-01-01 22:35:00,F0039,Biodegradable,77.09,60.11,7.19,Needs Replacement
2026-01-01 22:40:00,F0158,Plastic,87.64,47.08,5.18,Healthy
2026-01-01 22:45:00,F0170,Biodegradable,83.13,56.27,6.66,Needs Replacement
2026-01-01 22:50:00,F0993,Organic,4.37,31.86,6.04,Damaged
2026-01-01 22:55:00,F0547,Plastic,28.49,54.91,4.14,Needs Replacement
2026-01-01 23:00:00,F0199,Organic,96.56,57.06,7.33,Damaged
2026-01-01 23:05:00,F0289,Organic,94.71,69.07,4.23,Damaged
2026-01-01 23:10:00,F0821,Biodegradable,52.75,67.98,6.72,Healthy
2026-01-01 23:15:00,F0381,Biodegradable,87.3,13.13,4.36,Healthy
2026-01-01 23:20:00,F0086,Plastic,71.14,40.95,1.87,Needs Replacement
2026-01-01 23:25:00,F0094,Plastic,44.93,40.8,6.82,Needs Replacement
2026-01-01 23:30:00,F0406,Biodegradable,88.46,65.83,3.9,Needs Replacement
2026-01-01 23:35:00,F0029,Organic,23.58,69.67,3.62,Healthy
2026-01-01 23:40:00,F0141,Plastic,83.92,49.0,6.54,Needs Replacement
2026-01-01 23:45:00,F0778,Biodegradable,91.74,38.35,6.82,Needs Replacement
2026-01-01 23:50:00,F0263,Plastic,44.86,10.32,1.55,Healthy
2026-01-01 23:55:00,F0114,Organic,54.88,53.63,4.69,Healthy
2026-01-02 00:00:00,F0813,Biodegradable,30.12,12.86,3.94,Needs Replacement
2026-01-02 00:05:00,F0549,Plastic,6.28,60.2,4.5,Damaged
2026-01-02 00:10:00,F0440,Plastic,51.54,24.52,2.01,Damaged
2026-01-02 00:15:00,F0685,Plastic,35.28,44.24,2.31,Damaged
2026-01-02 00:20:00,F0520,Biodegradable,97.47,14.06,4.68,Damaged
2026-01-02 00:25:00,F0397,Organic,2.03,62.4,1.3,Needs Replacement
2026-01-02 00:30:00,F0247,Biodegradable,74.73,31.43,1.47,Damaged
2026-01-02 00:35:00,F0341,Plastic,62.83,56.29,6.15,Healthy
2026-01-02 00:40:00,F0851,Biodegradable,35.23,30.31,5.5,Needs Replacement
2026-01-02 00:45:00,F0139,Plastic,98.08,38.71,2.28,Damaged
2026-01-02 00:50:00,F0045,Plastic,77.62,37.46,3.05,Healthy
2026-01-02 00:55:00,F0835,Biodegradable,31.56,28.6,3.79,Needs Replacement
2026-01-02 01:00:00,F0366,Plastic,25.33,55.2,2.34,Damaged
2026-01-02 01:05:00,F0911,Organic,33.19,17.47,3.58,Damaged
2026-01-02 01:10:00,F0192,Organic,43.97,67.39,3.37,Damaged
2026-01-02 01:15:00,F0821,Plastic,49.75,65.46,4.63,Damaged
2026-01-02 01:20:00,F0185,Biodegradable,42.45,35.84,7.97,Needs Replacement
2026-01-02 01:25:00,F0314,Organic,32.12,14.8,5.63,Damaged
2026-01-02 01:30:00,F0458,Plastic,71.77,20.0,4.11,Damaged
2026-01-02 01:35:00,F0282,Biodegradable,87.0,31.15,7.99,Healthy
2026-01-02 01:40:00,F0821,Biodegradable,7.5,48.25,3.54,Damaged
2026-01-02 01:45:00,F0695,Organic,16.0,11.87,6.94,Healthy
2026-01-02 01:50:00,F0371,Organic,12.62,24.16,5.52,Damaged
2026-01-02 01:55:00,F0380,Organic,3.24,19.21,4.15,Needs Replacement
2026-01-02 02:00:00,F0408,Organic,76.31,44.44,4.71,Damaged
2026-01-02 02:05:00,F0191,Organic,27.87,67.63,1.18,Damaged
2026-01-02 02:10:00,F0267,Biodegradable,38.7,43.7,2.83,Needs Replacement
2026-01-02 02:15:00,F0503,Plastic,21.46,46.71,5.86,Healthy
2026-01-02 02:20:00,F0731,Organic,13.57,14.44,2.21,Healthy
2026-01-02 02:25:00,F0684,Organic,81.05,68.05,7.91,Damaged
2026-01-02 02:30:00,F0872,Plastic,6.49,42.53,7.24,Damaged
2026-01-02 02:35:00,F0371,Biodegradable,70.96,52.01,2.22,Healthy
2026-01-02 02:40:00,F0810,Organic,12.14,22.06,1.97,Healthy
2026-01-02 02:45:00,F0565,Plastic,36.09,44.34,4.27,Damaged
2026-01-02 02:50:00,F0735,Biodegradable,88.42,13.94,3.79,Needs Replacement
2026-01-02 02:55:00,F0076,Plastic,52.57,56.15,6.76,Needs Replacement
2026-01-02 03:00:00,F0353,Plastic,64.23,37.0,5.76,Damaged
2026-01-02 03:05:00,F0444,Biodegradable,63.98,20.92,7.76,Healthy
2026-01-02 03:10:00,F0166,Organic,83.14,41.09,3.13,Damaged
2026-01-02 03:15:00,F0291,Plastic,22.55,66.85,4.63,Needs Replacement
2026-01-02 03:20:00,F0641,Organic,19.63,67.38,2.92,Damaged
2026-01-02 03:25:00,F0965,Biodegradable,53.35,40.15,2.18,Healthy
2026-01-02 03:30:00,F0346,Biodegradable,17.12,47.47,7.31,Healthy
2026-01-02 03:35:00,F0657,Biodegradable,82.52,11.7,1.32,Needs Replacement
2026-01-02 03:40:00,F0655,Plastic,65.11,56.02,3.92,Needs Replacement
2026-01-02 03:45:00,F0310,Organic,88.9,42.73,5.49,Healthy
2026-01-02 03:50:00,F0075,Biodegradable,80.47,51.1,3.08,Healthy
2026-01-02 03:55:00,F0349,Biodegradable,15.81,34.94,4.25,Healthy
2026-01-02 04:00:00,F0882,Organic,31.26,53.1,6.14,Needs Replacement
2026-01-02 04:05:00,F0327,Plastic,13.08,32.23,4.93,Needs Replacement
2026-01-02 04:10:00,F0052,Organic,12.25,36.98,1.99,Needs Replacement
2026-01-02 04:15:00,F0924,Plastic,86.42,35.09,7.74,Needs Replacement
2026-01-02 04:20:00,F0164,Organic,93.38,53.27,2.33,Damaged
2026-01-02 04:25:00,F0093,Organic,46.68,62.74,4.48,Damaged
2026-01-02 04:30:00,F0050,Plastic,45.72,24.44,5.08,Needs Replacement
2026-01-02 04:35:00,F0482,Organic,49.49,62.94,5.58,Damaged
